Serial_No,Order_ID,Order_Date,Region,Customer_ID,Segment,Category,Product,Quantity,Unit_Price,Discount,Sales,Profit
2723,ORD02723,24-05-2025,north,,Home Office,Furniture,Desk,3,799,,2397,188.38
2724,ORD02724,01-08-2024,West,,Corporate,Furniture,Laptop,9,499,0.1,4041.9,1044.27
2725,ORD02725,11-02-2024,West,,Home Office,Office Supplies,Laptop,10,99,0.15,841.5,239.23
2726,ORD02726,17-02-2025,North,,Corporate,Furniture,Chair,10,799,,7990,1534.47
2727,ORD02727,24-02-2024,West,,Consumer,Office Supplies,Desk,7,149,0,1043,245.47
2728,ORD02728,05-01-2025,South,,Consumer,Furniture,Headphones,3,99,0.1,267.3,47.77
2729,ORD02729,21-05-2024,South,,Home Office,Furniture,Printer,5,99,0,495,144.31
2730,ORD02730,08-02-2025,East,,Consumer,Office Supplies,Desk,1,499,,499,131.95
2731,ORD02731,18-07-2025,WEST,,Home Office,Furniture,Headphones,5,999,0.1,4495.5,294.24
2732,ORD02732,14-04-2025,north,,Consumer,Electronics,Printer,10,149,,1490,325.6
2733,ORD02733,12-02-2025,North,,Corporate,Furniture,Phone,5,99,0.15,420.75,105.98
2734,ORD02734,22-08-2025,South,,Consumer,Furniture,Tablet,1,149,,149,8.46
2735,ORD02735,19-02-2025,East,CUST2010,Consumer,Furniture,Headphones,6,149,0.15,759.9,180.88
2736,ORD02736,01-06-2025,South,,Consumer,Office Supplies,Printer,9,149,0.1,1206.9,85.64
2737,ORD02737,18-08-2024,West,CUST2234,Consumer,Furniture,Laptop,6,99,,594,58.81
2738,ORD02738,10-09-2024,West,,Home Office,Electronics,Headphones,6,,0,894,156.63
2739,ORD02739,07-06-2025,North,,Consumer,Office Supplies,Chair,5,499,0.15,2120.75,497.06
2740,ORD02740,17-03-2025,north,,Home Office,Office Supplies,Phone,10,499,0,4990,627.06
2741,ORD02741,22-10-2024,north,,Consumer,Office Supplies,Phone,2,499,0.15,848.3,249.63
2742,ORD02742,13-01-2024,WEST,,Consumer,Office Supplies,Desk,6,799,0.05,4554.3,941.82
2743,ORD02743,09-02-2025,WEST,CUST2538,Home Office,Electronics,Monitor,3,799,0.05,2277.15,553.77
2744,ORD02744,31-08-2025,WEST,,Home Office,Electronics,Monitor,10,299,0.15,2541.5,275.03
2745,ORD02745,03-08-2025,West,,Corporate,Furniture,Printer,5,149,,745,186.1
2746,ORD02746,26-12-2025,West,,Home Office,Furniture,Laptop,1,149,0,149,17.53
2747,ORD02747,22-11-2025,north,CUST1105,Home Office,Office Supplies,Headphones,7,999,0.1,6293.7,1752.76
2748,ORD02748,10-07-2024,South,CUST1267,Corporate,Office Supplies,Phone,9,99,0.1,801.9,119.9
2749,ORD02749,24-04-2024,WEST,,Consumer,Furniture,Headphones,9,99,0,891,149.5
2750,ORD02750,22-05-2024,North,CUST1645,Corporate,Electronics,Phone,10,299,0.1,2691,766.28
2751,ORD02751,15-07-2025,West,,Home Office,Furniture,Desk,7,499,0,3493,549.68
2752,ORD02752,04-11-2024,North,,Consumer,Office Supplies,Phone,6,999,,5994,637.6
2753,ORD02753,17-04-2025,East,,Consumer,Furniture,Desk,6,149,0.15,759.9,182.79
2754,ORD02754,29-11-2025,WEST,,Consumer,Electronics,Chair,7,299,0,2093,473.88
2755,ORD02755,20-01-2025,West,,Corporate,Office Supplies,Chair,2,149,0.05,283.1,46.57
2756,ORD02756,18-01-2024,North,CUST2307,Corporate,Electronics,Desk,7,99,0,693,75.92
2757,ORD02757,24-06-2024,West,,Home Office,Furniture,Laptop,8,499,0.05,3792.4,282.4
2758,ORD02758,27-05-2024,West,CUST1081,Corporate,Electronics,Tablet,9,499,0.1,4041.9,877.01
2759,ORD02759,29-11-2025,East,,Corporate,Furniture,Laptop,2,499,0.1,898.2,67.29
2760,ORD02760,10-06-2025,North,,Corporate,Electronics,Tablet,3,99,0.05,282.15,55.72
2761,ORD02761,11-02-2024,South,,Consumer,Electronics,Monitor,7,799,0.15,4754.05,800.53
2762,ORD02762,12-11-2024,WEST,,Home Office,Furniture,Desk,2,799,0.1,1438.2,113.04
2763,ORD02763,01-09-2024,West,,Home Office,Office Supplies,Chair,,199,0.1,179.1,32.26
2764,ORD02764,07-10-2024,West,,Home Office,Furniture,Phone,2,99,0.05,188.1,43.05
2765,ORD02765,16-11-2024,West,,Corporate,Electronics,Laptop,8,299,0.1,2152.8,272.5
2766,ORD02766,16-07-2024,East,CUST1950,Corporate,Furniture,Headphones,10,799,,7990,1062.13
2767,ORD02767,14-01-2024,WEST,,Consumer,Office Supplies,Tablet,3,499,0.05,1422.15,418.13
2768,ORD02768,10-07-2024,South,,Home Office,Furniture,Phone,3,199,0.05,567.15,108.4
2769,ORD02769,18-07-2024,West,,Corporate,Office Supplies,Printer,6,149,0.15,759.9,101.71
2770,ORD02770,19-06-2025,East,,Home Office,Office Supplies,Laptop,6,299,0.15,1524.9,347.05
2771,ORD02771,11-06-2025,North,CUST1092,Corporate,Office Supplies,Monitor,8,299,,2392,298.24
2772,ORD02772,04-04-2025,East,,Corporate,Furniture,Desk,4,999,0.1,3596.4,868.46
2773,ORD02773,19-11-2024,West,,Consumer,Electronics,Tablet,7,799,0.15,4754.05,520.84
2774,ORD02774,20-06-2025,East,,Corporate,Office Supplies,Phone,10,299,0,2990,380.84
2775,ORD02775,07-04-2025,North,,Consumer,Furniture,Desk,3,,0,297,60.88
2776,ORD02776,25-11-2025,East,CUST2043,Consumer,Electronics,Phone,,299,0,299,72.33
2777,ORD02777,30-08-2024,North,,Home Office,Furniture,Printer,10,799,0.05,7590.5,384.75
2778,ORD02778,07-05-2025,South,,Corporate,Electronics,Printer,6,199,0.05,1134.3,241.74
2779,ORD02779,15-05-2024,north,CUST2405,Consumer,Office Supplies,Phone,5,299,0.1,1345.5,113.74
2780,ORD02780,19-07-2025,East,,Corporate,Electronics,Laptop,2,999,,1998,144.25
2781,ORD02781,25-01-2024,West,CUST1857,Home Office,Furniture,Chair,2,99,,198,22.77
2782,ORD02782,03-12-2024,East,CUST1149,Consumer,Electronics,Tablet,10,799,0.1,7191,429.47
2783,ORD02783,31-07-2025,WEST,CUST2913,Corporate,Office Supplies,Laptop,,99,0.1,712.8,172.31
2784,ORD02784,05-11-2025,South,,Corporate,Furniture,Monitor,1,799,0.1,719.1,137.47
2785,ORD02785,25-11-2024,WEST,,Home Office,Electronics,Printer,8,799,0.1,5752.8,1638.94
2786,ORD02786,02-07-2024,East,,Corporate,Office Supplies,Chair,10,499,0.15,4241.5,1182.23
2787,ORD02787,31-07-2025,WEST,CUST1669,Corporate,Office Supplies,Printer,3,199,0.15,507.45,74.94
2788,ORD02788,02-05-2025,WEST,,Home Office,Electronics,Printer,3,499,0,1497,269.77
2789,ORD02789,19-04-2025,north,,Home Office,Office Supplies,Tablet,4,799,0.05,3036.2,432.92
2790,ORD02790,23-10-2025,north,CUST1959,Home Office,Furniture,Tablet,8,149,0.05,1132.4,173.99
2791,ORD02791,01-09-2024,WEST,,Consumer,Office Supplies,Chair,2,499,0.1,898.2,258.58
2792,ORD02792,10-02-2024,WEST,,Consumer,Furniture,Phone,5,299,0.15,1270.75,136.91
2793,ORD02793,02-03-2024,North,,Corporate,Office Supplies,Chair,6,499,0.1,2694.6,658
2794,ORD02794,10-05-2024,South,,Consumer,Furniture,Monitor,3,199,0,597,168.19
2795,ORD02795,07-12-2025,WEST,CUST2652,Corporate,Furniture,Desk,10,149,0,1490,397.56
2796,ORD02796,19-10-2025,North,CUST1325,Home Office,Electronics,Tablet,2,999,0.1,1798.2,497.56
2797,ORD02797,24-10-2025,South,CUST2147,Home Office,Electronics,Chair,4,299,0.15,1016.6,126.09
2798,ORD02798,18-09-2025,north,CUST1520,Home Office,Office Supplies,Chair,10,799,0.05,7590.5,699.93
2799,ORD02799,17-09-2025,West,,Consumer,Electronics,Headphones,,499,0.05,2370.25,262.43
2800,ORD02800,26-10-2024,WEST,,Home Office,Furniture,Monitor,2,199,,398,92.28
2801,ORD02801,28-08-2025,north,,Home Office,Furniture,Headphones,6,499,0,2994,636.95
2802,ORD02802,13-03-2025,WEST,,Consumer,Office Supplies,Headphones,6,149,,894,83.2
2803,ORD02803,15-12-2025,North,,Home Office,Office Supplies,Phone,1,99,0,99,10.58
2804,ORD02804,29-04-2024,East,CUST1427,Corporate,Office Supplies,Phone,9,999,0,8991,2148.65
2805,ORD02805,13-02-2024,West,,Consumer,Electronics,Headphones,2,799,0.05,1518.1,112.3
2806,ORD02806,08-11-2024,WEST,,Corporate,Electronics,Phone,,149,0.1,1072.8,224.9
2807,ORD02807,27-09-2025,East,,Consumer,Office Supplies,Monitor,5,299,0.15,1270.75,293.15
2808,ORD02808,12-02-2025,WEST,CUST1209,Consumer,Electronics,Printer,1,499,,499,94.04
2809,ORD02809,12-07-2024,WEST,CUST2576,Home Office,Office Supplies,Monitor,3,499,0.05,1422.15,230.55
2810,ORD02810,28-01-2024,north,,Corporate,Furniture,Headphones,10,149,0.15,1266.5,280.43
2811,ORD02811,02-06-2025,north,,Home Office,Office Supplies,Phone,8,199,0,1592,406.1
2812,ORD02812,28-07-2025,North,,Consumer,Office Supplies,Desk,2,99,0.15,168.3,28.32
2813,ORD02813,17-01-2024,South,,Home Office,Furniture,Headphones,3,149,,447,25.86
2814,ORD02814,25-02-2025,East,,Consumer,Electronics,Chair,6,499,0.1,2694.6,215.5
2815,ORD02815,14-01-2024,West,,Consumer,Electronics,Printer,3,299,0.1,807.3,155.26
2816,ORD02816,08-01-2025,WEST,,Home Office,Office Supplies,Headphones,7,299,0.05,1988.35,503.98
2817,ORD02817,28-10-2024,WEST,,Consumer,Furniture,Phone,3,499,0.05,1422.15,133.94
2818,ORD02818,20-08-2025,East,,Corporate,Electronics,Tablet,5,199,,995,288.7
2819,ORD02819,30-06-2025,West,,Home Office,Electronics,Chair,2,499,0.05,948.1,224.98
2820,ORD02820,11-11-2024,north,,Corporate,Furniture,Headphones,10,799,0,7990,562.8
2821,ORD02821,20-11-2024,North,,Consumer,Furniture,Printer,7,299,0,2093,367.31
2822,ORD02822,16-08-2024,West,CUST1444,Corporate,Furniture,Phone,,99,0,594,141.42
2823,ORD02823,23-08-2024,North,,Corporate,Office Supplies,Desk,6,99,0.15,504.9,144.02
2824,ORD02824,03-10-2025,East,CUST2096,Corporate,Office Supplies,Phone,4,799,0.1,2876.4,542.37
2825,ORD02825,31-01-2024,South,,Home Office,Furniture,Chair,7,999,,6993,628.4
2826,ORD02826,07-08-2025,East,,Home Office,Electronics,Tablet,,199,0.15,1014.9,152.99
2827,ORD02827,10-01-2024,East,CUST2966,Home Office,Furniture,Laptop,5,149,0.15,633.25,53.34
2828,ORD02828,08-09-2025,East,,Home Office,Electronics,Chair,6,799,0.1,4314.6,1086.45
2829,ORD02829,06-01-2024,West,CUST1259,Home Office,Furniture,Tablet,3,149,0.1,402.3,83.6
2830,ORD02830,21-08-2025,North,CUST1431,Corporate,Furniture,Printer,5,299,,1495,136.95
2831,ORD02831,13-08-2025,WEST,CUST2954,Home Office,Furniture,Printer,3,499,,1497,183.32
2832,ORD02832,08-06-2025,North,,Consumer,Office Supplies,Desk,5,199,0.15,845.75,226.76
2833,ORD02833,08-10-2024,WEST,CUST2331,Home Office,Electronics,Chair,5,799,0.05,3795.25,1077.87
2834,ORD02834,29-08-2024,South,CUST1242,Home Office,Electronics,Monitor,5,149,0.15,633.25,67.56
2835,ORD02835,10-03-2024,WEST,,Consumer,Electronics,Monitor,6,999,0.05,5694.3,1530.87
2836,ORD02836,04-01-2024,WEST,,Corporate,Office Supplies,Monitor,5,499,0,2495,549.71
2837,ORD02837,30-03-2025,North,,Corporate,Furniture,Laptop,5,99,0,495,92.46
2838,ORD02838,28-06-2025,WEST,,Home Office,Electronics,Tablet,10,799,0.05,7590.5,1826.49
2839,ORD02839,24-04-2024,East,,Corporate,Electronics,Desk,3,99,,297,68.77
2840,ORD02840,17-05-2025,South,,Consumer,Furniture,Tablet,6,99,0.15,504.9,145.03
2841,ORD02841,15-11-2024,West,CUST1689,Home Office,Office Supplies,Tablet,8,199,0.1,1432.8,378.8
2842,ORD02842,22-02-2025,South,,Consumer,Electronics,Monitor,6,99,,594,100.62
2843,ORD02843,16-08-2025,north,,Consumer,Furniture,Laptop,6,799,0,4794,1274.16
2844,ORD02844,25-02-2024,North,CUST1920,Home Office,Office Supplies,Desk,3,99,0.05,282.15,44.72
2845,ORD02845,23-08-2024,WEST,,Home Office,Furniture,Printer,2,799,0.1,1438.2,371.08
2846,ORD02846,19-12-2025,South,,Home Office,Electronics,Chair,6,299,,1794,525.56
2847,ORD02847,03-07-2025,South,,Corporate,Office Supplies,Desk,3,199,0.15,507.45,107.59
2848,ORD02848,21-06-2025,West,,Corporate,Electronics,Headphones,8,999,0.05,7592.4,775.48
2849,ORD02849,01-07-2024,north,CUST2024,Consumer,Office Supplies,Phone,6,499,0,2994,703.56
2850,ORD02850,15-06-2025,West,CUST1091,Home Office,Electronics,Desk,10,199,0.15,1691.5,348.29
2851,ORD02851,12-08-2024,East,CUST1725,Home Office,Office Supplies,Tablet,2,799,0.15,1358.3,179.46
2852,ORD02852,04-06-2025,North,CUST2332,Home Office,Electronics,Chair,6,799,0.1,4314.6,839.62
2853,ORD02853,12-04-2025,north,CUST2585,Home Office,Furniture,Desk,1,499,,499,69.66
2854,ORD02854,13-08-2024,north,,Consumer,Office Supplies,Laptop,3,999,0,2997,797.79
2855,ORD02855,22-08-2025,North,CUST1794,Consumer,Office Supplies,Phone,1,149,0,149,24.01
2856,ORD02856,07-09-2024,West,CUST1791,Home Office,Office Supplies,Chair,9,999,0,8991,2439.84
2857,ORD02857,27-09-2024,North,CUST1099,Home Office,Furniture,Desk,4,799,0.05,3036.2,738.18
2858,ORD02858,25-04-2025,North,,Home Office,Electronics,Headphones,2,99,0.15,168.3,22.38
2859,ORD02859,28-05-2025,North,,Consumer,Office Supplies,Chair,2,,0.05,188.1,39.28
2860,ORD02860,15-01-2024,north,,Consumer,Furniture,Phone,10,299,0,2990,376.69
2861,ORD02861,01-11-2025,East,,Consumer,Office Supplies,Phone,3,799,0,2397,446.83
2862,ORD02862,25-01-2024,West,CUST2160,Home Office,Office Supplies,Printer,9,99,0.1,801.9,230.92
2863,ORD02863,03-11-2024,North,,Corporate,Furniture,Monitor,5,299,,1495,194.84
2864,ORD02864,07-10-2024,West,CUST2798,Home Office,Furniture,Printer,9,299,0,2691,640.44
2865,ORD02865,21-10-2025,South,CUST2152,Consumer,Electronics,Printer,6,999,0.1,5394.6,1602.91
2866,ORD02866,29-12-2024,East,,Home Office,Furniture,Chair,3,499,0.15,1272.45,281.34
2867,ORD02867,06-03-2024,north,,Home Office,Office Supplies,Monitor,8,199,0.15,1353.2,91.57
2868,ORD02868,18-09-2025,West,,Home Office,Furniture,Phone,9,799,0.1,6471.9,1750.24
2869,ORD02869,06-05-2024,North,,Home Office,Furniture,Printer,10,,0.05,4740.5,1099.19
2870,ORD02870,22-03-2024,North,CUST1544,Corporate,Electronics,Phone,4,99,0.15,336.6,66
2871,ORD02871,11-03-2024,WEST,CUST1509,Consumer,Electronics,Phone,4,99,0.1,356.4,89.34
2872,ORD02872,02-06-2024,West,,Home Office,Office Supplies,Laptop,2,99,0.05,188.1,46.49
2873,ORD02873,28-10-2025,North,,Corporate,Office Supplies,Tablet,5,499,0.05,2370.25,225.74
2874,ORD02874,04-08-2025,East,CUST1312,Consumer,Furniture,Printer,10,499,0.1,4491,266.42
2875,ORD02875,03-10-2025,north,,Consumer,Electronics,Chair,4,149,,596,160.46
2876,ORD02876,18-09-2025,WEST,,Home Office,Office Supplies,Printer,1,499,0,499,90.47
2877,ORD02877,03-11-2024,North,,Home Office,Furniture,Tablet,5,149,0,745,185.51
2878,ORD02878,23-12-2025,WEST,,Corporate,Office Supplies,Laptop,2,149,0.15,253.3,21.09
2879,ORD02879,24-05-2025,WEST,,Home Office,Furniture,Printer,7,199,,1393,275.93
2880,ORD02880,24-11-2025,West,CUST2420,Consumer,Office Supplies,Chair,1,499,0.15,424.15,38.27
2881,ORD02881,25-06-2024,WEST,CUST2294,Home Office,Office Supplies,Headphones,5,499,0.15,2120.75,417.51
2882,ORD02882,13-09-2025,WEST,,Consumer,Office Supplies,Phone,7,799,0.15,4754.05,1415.27
2883,ORD02883,01-06-2025,north,,Consumer,Electronics,Chair,1,299,0.05,284.05,75.46
2884,ORD02884,06-01-2025,north,,Consumer,Furniture,Desk,9,499,0,4491,1150.02
2885,ORD02885,05-04-2025,West,,Home Office,Electronics,Printer,2,299,0.15,508.3,47.3
2886,ORD02886,10-11-2025,North,,Corporate,Furniture,Monitor,2,799,0,1598,184.22
2887,ORD02887,05-10-2024,North,CUST2342,Consumer,Furniture,Monitor,8,299,0,2392,496.57
2888,ORD02888,16-02-2025,north,,Consumer,Electronics,Phone,5,149,0.1,670.5,82.17
2889,ORD02889,24-07-2025,WEST,CUST2513,Consumer,Electronics,Monitor,3,299,0,897,143.35
2890,ORD02890,16-07-2024,North,,Home Office,Furniture,Chair,3,149,0.1,402.3,27.78
2891,ORD02891,14-11-2024,East,CUST1928,Corporate,Office Supplies,Laptop,7,999,,6993,657.42
2892,ORD02892,10-07-2025,West,,Home Office,Electronics,Monitor,7,999,0.1,6293.7,541.25
2893,ORD02893,22-04-2024,East,CUST2632,Consumer,Furniture,Monitor,10,149,0.05,1415.5,194.13
2894,ORD02894,07-07-2024,East,CUST1389,Corporate,Electronics,Chair,2,299,0.05,568.1,48.2
2895,ORD02895,30-10-2025,north,,Corporate,Office Supplies,Chair,3,999,0.1,2697.3,619.67
2896,ORD02896,16-04-2024,north,,Consumer,Electronics,Tablet,6,149,0.05,849.3,180.04
2897,ORD02897,14-03-2025,north,,Home Office,Electronics,Headphones,10,999,,9990,1563.08
2898,ORD02898,25-06-2024,north,CUST2200,Home Office,Electronics,Monitor,7,799,0,5593,1362.69
2899,ORD02899,30-05-2025,North,,Corporate,Office Supplies,Phone,3,149,,447,107.31
2900,ORD02900,28-11-2024,West,,Consumer,Electronics,Headphones,3,199,,597,109.95
2901,ORD02901,31-07-2024,north,,Consumer,Electronics,Chair,9,799,0.15,6112.35,363.99
2902,ORD02902,01-02-2024,north,CUST1340,Home Office,Office Supplies,Headphones,5,499,0.05,2370.25,170.49
2903,ORD02903,05-12-2025,North,,Consumer,Furniture,Chair,2,299,0.1,538.2,97.23
2904,ORD02904,07-04-2024,West,CUST1143,Consumer,Office Supplies,Headphones,7,149,0.05,990.85,178.33
2905,ORD02905,02-05-2024,north,CUST2118,Home Office,Electronics,Headphones,3,499,,1497,390.93
2906,ORD02906,05-08-2024,WEST,,Consumer,Office Supplies,Desk,,149,0,1341,141.38
2907,ORD02907,27-06-2025,South,,Consumer,Electronics,Monitor,7,799,0.15,4754.05,452.7
2908,ORD02908,01-01-2025,WEST,CUST2377,Corporate,Furniture,Desk,5,499,0.1,2245.5,490.22
2909,ORD02909,09-12-2025,South,,Corporate,Electronics,Chair,9,149,,1341,307.05
2910,ORD02910,18-11-2025,South,CUST2373,Corporate,Office Supplies,Tablet,4,999,0.05,3796.2,242.56
2911,ORD02911,18-09-2024,North,,Home Office,Furniture,Chair,4,299,0.1,1076.4,200.2
2912,ORD02912,30-12-2024,North,CUST2744,Consumer,Office Supplies,Headphones,4,999,0,3996,459.73
2913,ORD02913,19-12-2024,South,,Consumer,Furniture,Monitor,,199,0.05,567.15,57.72
2914,ORD02914,13-04-2024,West,CUST2583,Consumer,Office Supplies,Chair,2,99,0,198,37.39
2915,ORD02915,23-08-2025,north,,Consumer,Electronics,Chair,3,99,0,297,38.31
2916,ORD02916,05-08-2024,north,,Corporate,Electronics,Chair,5,149,0,745,154.83
2917,ORD02917,14-03-2025,East,,Home Office,Furniture,Laptop,6,799,0.1,4314.6,1208.27
2918,ORD02918,04-03-2025,West,,Home Office,Electronics,Printer,8,299,0.05,2272.4,497.45
2919,ORD02919,08-04-2024,WEST,,Home Office,Electronics,Tablet,3,499,0.15,1272.45,357.5
2920,ORD02920,16-05-2024,North,,Corporate,Office Supplies,Headphones,6,999,,5994,1530.82
2921,ORD02921,14-01-2025,West,,Consumer,Furniture,Laptop,3,99,0.05,282.15,79.13
2922,ORD02922,24-09-2025,North,,Corporate,Electronics,Printer,2,299,0.15,508.3,106.2
2923,ORD02923,04-03-2024,West,,Home Office,Electronics,Monitor,3,99,0.1,267.3,38.88
2924,ORD02924,09-08-2025,South,,Consumer,Furniture,Desk,10,499,0.05,4740.5,727.57
2925,ORD02925,19-06-2024,North,,Consumer,Office Supplies,Headphones,4,149,,596,175.45
2926,ORD02926,28-01-2025,East,,Home Office,Office Supplies,Headphones,4,199,0.15,676.6,65.57
2927,ORD02927,17-11-2025,South,,Consumer,Electronics,Tablet,10,299,0,2990,733.99
2928,ORD02928,22-04-2025,north,,Home Office,Office Supplies,Tablet,10,799,0.05,7590.5,2193.27
2929,ORD02929,31-12-2025,South,,Corporate,Electronics,Phone,7,999,0.15,5944.05,440.36
2930,ORD02930,15-08-2025,WEST,,Corporate,Office Supplies,Laptop,7,99,0.05,658.35,183.05
2931,ORD02931,04-04-2024,West,CUST2672,Home Office,Office Supplies,Phone,2,199,0.1,358.2,27.77
2932,ORD02932,06-09-2025,North,,Home Office,Office Supplies,Monitor,9,999,0.1,8091.9,648.52
2933,ORD02933,26-06-2024,East,,Corporate,Furniture,Laptop,9,299,,2691,510.9
2934,ORD02934,27-03-2025,WEST,,Home Office,Office Supplies,Phone,8,99,0.1,712.8,141.15
2935,ORD02935,20-02-2025,north,,Consumer,Office Supplies,Headphones,2,999,0,1998,518.31
2936,ORD02936,09-12-2025,North,,Corporate,Office Supplies,Printer,4,299,,1196,193.63
2937,ORD02937,14-07-2024,north,,Consumer,Office Supplies,Phone,9,99,0.1,801.9,193.16
2938,ORD02938,23-04-2025,East,CUST1285,Consumer,Furniture,Headphones,6,999,0.15,5094.9,1330.7
2939,ORD02939,18-08-2024,East,CUST2365,Consumer,Office Supplies,Laptop,1,999,,999,104.14
2940,ORD02940,07-07-2025,South,,Corporate,Office Supplies,Monitor,4,149,0.15,506.6,143.98
2941,ORD02941,25-06-2025,South,,Home Office,Furniture,Desk,5,499,0.1,2245.5,229.34
2942,ORD02942,09-01-2024,West,,Corporate,Furniture,Headphones,6,499,,2994,398.22
2943,ORD02943,16-11-2025,South,,Corporate,Office Supplies,Printer,1,499,0.05,474.05,65.36
2944,ORD02944,21-01-2024,South,,Home Office,Office Supplies,Chair,5,299,0.05,1420.25,380.96
2945,ORD02945,19-09-2025,North,,Corporate,Electronics,Desk,8,499,0.15,3393.2,786.18
2946,ORD02946,19-07-2024,West,CUST1283,Consumer,Office Supplies,Phone,10,,0.05,4740.5,981
2947,ORD02947,08-12-2025,WEST,,Home Office,Furniture,Desk,5,999,0,4995,597.25
2948,ORD02948,18-02-2024,South,,Home Office,Electronics,Monitor,8,499,0.05,3792.4,1044.09
2949,ORD02949,19-06-2024,East,,Corporate,Furniture,Desk,8,149,0,1192,251.85
2950,ORD02950,10-04-2025,South,,Consumer,Office Supplies,Chair,8,799,0.05,6072.4,1443.02
2951,ORD02951,05-02-2025,north,CUST1943,Consumer,Office Supplies,Desk,3,99,0,297,41.08
2952,ORD02952,23-11-2025,north,,Consumer,Furniture,Tablet,9,99,,891,139.73
2953,ORD02953,17-04-2024,South,,Corporate,Office Supplies,Headphones,8,199,0.15,1353.2,300.7
2954,ORD02954,23-03-2024,WEST,,Home Office,Furniture,Printer,3,999,0.1,2697.3,350.08
2955,ORD02955,15-03-2025,WEST,CUST1257,Consumer,Office Supplies,Desk,6,299,0.15,1524.9,430.27
2956,ORD02956,29-01-2025,West,CUST2366,Consumer,Office Supplies,Monitor,7,149,0,1043,111.48
2957,ORD02957,06-05-2025,WEST,CUST1152,Corporate,Furniture,Tablet,6,999,0.05,5694.3,476.63
2958,ORD02958,19-08-2024,East,,Consumer,Furniture,Chair,4,199,,796,191.12
2959,ORD02959,19-02-2025,South,,Consumer,Office Supplies,Headphones,7,199,,1393,191.9
2960,ORD02960,05-06-2025,West,,Corporate,Furniture,Tablet,6,999,0,5994,1074.26
2961,ORD02961,05-06-2025,north,,Consumer,Office Supplies,Phone,5,199,,995,107.59
2962,ORD02962,01-06-2025,East,CUST1337,Consumer,Furniture,Laptop,1,199,0,199,15.53
2963,ORD02963,07-04-2024,East,CUST2967,Consumer,Furniture,Desk,,499,0.05,3318.35,474.45
2964,ORD02964,24-10-2025,South,,Consumer,Office Supplies,Phone,5,999,0.05,4745.25,279.06
2965,ORD02965,04-06-2025,East,,Home Office,Electronics,Phone,5,499,0,2495,260.27
2966,ORD02966,10-01-2024,north,,Corporate,Furniture,Desk,5,799,,3995,763.2
2967,ORD02967,22-08-2024,WEST,,Home Office,Furniture,Headphones,7,99,0,693,86.79
2968,ORD02968,20-11-2025,WEST,,Home Office,Office Supplies,Phone,10,299,,2990,620.51
2969,ORD02969,26-08-2025,north,CUST2858,Home Office,Office Supplies,Laptop,7,149,0.05,990.85,168.78
2970,ORD02970,10-05-2025,north,CUST2074,Corporate,Office Supplies,Desk,7,199,0.05,1323.35,147.69
2971,ORD02971,18-11-2025,West,CUST2499,Consumer,Furniture,Tablet,6,199,0,1194,346.36
2972,ORD02972,07-08-2024,north,,Home Office,Electronics,Chair,9,149,,1341,163.43
2973,ORD02973,24-08-2024,north,,Consumer,Office Supplies,Headphones,2,99,0,198,37.54
2974,ORD02974,01-06-2025,WEST,,Corporate,Furniture,Desk,10,149,0.05,1415.5,96.93
2975,ORD02975,20-03-2024,East,,Consumer,Furniture,Monitor,9,149,0.1,1206.9,287.22
2976,ORD02976,24-11-2025,WEST,CUST2078,Consumer,Office Supplies,Monitor,1,499,0.05,474.05,127.27
2977,ORD02977,01-09-2025,North,,Home Office,Furniture,Desk,7,299,0.05,1988.35,233.8
2978,ORD02978,21-07-2024,West,CUST1968,Corporate,Electronics,Headphones,10,99,0.05,940.5,203.02
2979,ORD02979,12-04-2025,South,CUST1461,Consumer,Furniture,Headphones,1,199,0.15,169.15,27.71
2980,ORD02980,09-02-2024,South,,Home Office,Electronics,Headphones,2,799,,1598,348.89
2981,ORD02981,11-04-2025,WEST,,Consumer,Electronics,Headphones,5,799,0.05,3795.25,1046.3
2982,ORD02982,12-10-2025,north,,Consumer,Office Supplies,Headphones,6,299,0.15,1524.9,170.98
2983,ORD02983,06-02-2025,East,,Corporate,Office Supplies,Tablet,2,799,0.1,1438.2,335.18
2984,ORD02984,28-10-2024,WEST,,Home Office,Furniture,Desk,9,999,0,8991,2371.85
2985,ORD02985,28-03-2024,West,,Consumer,Office Supplies,Chair,4,299,0.1,1076.4,231.43
2986,ORD02986,26-05-2025,South,,Corporate,Electronics,Monitor,3,999,0.15,2547.45,567.52
2987,ORD02987,09-09-2024,East,,Home Office,Furniture,Monitor,9,999,0.15,7642.35,1638.55
2988,ORD02988,11-02-2024,North,,Corporate,Furniture,Phone,2,499,0.15,848.3,185.29
2989,ORD02989,20-05-2025,South,,Corporate,Office Supplies,Chair,6,149,0.1,804.6,86.51
2990,ORD02990,03-10-2025,WEST,,Consumer,Furniture,Headphones,8,99,0.05,752.4,72.33
2991,ORD02991,15-07-2025,WEST,CUST1967,Consumer,Furniture,Monitor,1,799,0,799,188.35
2992,ORD02992,09-08-2024,WEST,CUST2850,Consumer,Electronics,Monitor,6,299,0,1794,459.81
2993,ORD02993,19-03-2025,South,CUST1509,Home Office,Office Supplies,Monitor,10,199,0.1,1791,148.68
2994,ORD02994,11-03-2025,West,,Home Office,Office Supplies,Laptop,6,,0.05,5694.3,423.51
2995,ORD02995,25-05-2024,South,CUST1941,Consumer,Furniture,Phone,7,799,,5593,1432.07
